transaction_id,anomaly_score,risk_tier,llm_flagged,batch,reasoning
72f1f95a-81a7-4e04-9a31-2cec5b608d8b,0.3156,MEDIUM,0,1,"These transactions exhibit high amounts, new recipients, and significant anomaly scores, indicating a pattern consistent with potential fraudulent activity despite being categorized as MEDIUM risk."
47685f52-e7a9-4caa-a513-e9cb748d441d,0.3212,MEDIUM,0,1,"These transactions exhibit high amounts, new recipients, and significant anomaly scores, indicating a pattern consistent with potential fraudulent activity despite being categorized as MEDIUM risk."
bcaaa9df-7f70-4a53-b9e8-f218e710c6a8,0.4368,MEDIUM,1,1,"These transactions exhibit high amounts, new recipients, and significant anomaly scores, indicating a pattern consistent with potential fraudulent activity despite being categorized as MEDIUM risk."
bd7ad0b6-9cf2-439d-aa40-78e1446f114b,0.4098,MEDIUM,0,1,"These transactions exhibit high amounts, new recipients, and significant anomaly scores, indicating a pattern consistent with potential fraudulent activity despite being categorized as MEDIUM risk."
2bb85a33-5111-4d33-b45d-7115eb5e366c,0.406,MEDIUM,1,1,"These transactions exhibit high amounts, new recipients, and significant anomaly scores, indicating a pattern consistent with potential fraudulent activity despite being categorized as MEDIUM risk."
3381bc51-0428-4347-aebb-bfa6cc5a46f1,0.3251,MEDIUM,1,1,"These transactions exhibit high amounts, new recipients, and significant anomaly scores, indicating a pattern consistent with potential fraudulent activity despite being categorized as MEDIUM risk."
55b5798a-e41f-403f-ab91-5f341bca1f67,0.3278,MEDIUM,1,1,"These transactions exhibit high amounts, new recipients, and significant anomaly scores, indicating a pattern consistent with potential fraudulent activity despite being categorized as MEDIUM risk."
3c470d98-2680-4954-9a4d-4cf07f1decda,0.3451,MEDIUM,1,1,"These transactions exhibit high amounts, new recipients, and significant anomaly scores, indicating a pattern consistent with potential fraudulent activity despite being categorized as MEDIUM risk."
01dfae8d-8a94-41b2-bc82-606e4ada4e6a,0.3345,MEDIUM,1,1,"These transactions exhibit high amounts, new recipients, and significant anomaly scores, indicating a pattern consistent with potential fraudulent activity despite being categorized as MEDIUM risk."
0528101a-8918-4103-b0f0-283b9e87ce3d,0.3119,MEDIUM,1,1,"These transactions exhibit high amounts, new recipients, and significant anomaly scores, indicating a pattern consistent with potential fraudulent activity despite being categorized as MEDIUM risk."
8d4af227-7672-4681-998a-c8828ba04098,0.3337,MEDIUM,1,1,"These transactions exhibit high amounts, new recipients, and significant anomaly scores, indicating a pattern consistent with potential fraudulent activity despite being categorized as MEDIUM risk."
0736dc8f-6e3c-4fcd-b061-1a9287e8011a,0.3246,MEDIUM,1,1,"These transactions exhibit high amounts, new recipients, and significant anomaly scores, indicating a pattern consistent with potential fraudulent activity despite being categorized as MEDIUM risk."
47b7baa9-b6af-41f3-af59-b18770ccdae6,0.3097,MEDIUM,1,1,"These transactions exhibit high amounts, new recipients, and significant anomaly scores, indicating a pattern consistent with potential fraudulent activity despite being categorized as MEDIUM risk."
269ff4e5-035c-44cb-b053-688e387fee31,0.333,MEDIUM,1,1,"These transactions exhibit high amounts, new recipients, and significant anomaly scores, indicating a pattern consistent with potential fraudulent activity despite being categorized as MEDIUM risk."
c7316118-931b-4a92-aa67-099d748ac71a,0.3098,MEDIUM,1,1,"These transactions exhibit high amounts, new recipients, and significant anomaly scores, indicating a pattern consistent with potential fraudulent activity despite being categorized as MEDIUM risk."
3b519a7d-2a57-4abc-82fa-e21896013c41,0.3251,MEDIUM,0,2,"Both transactions have high anomaly scores and risk tiers, with significant signals indicating balance drain and new recipients, suggesting potential fraudulent activity."
